,,Delivery Date,Fuel Type,Tank #,Building,Gallons,Unit Cost,Cost
,,01/24/2014,#2 HEATING OIL,17,Blair Tyson,439.60,3.482100,1530.73
,,01/24/2014,#2 HEATING OIL,24,Dorr NHM,177.60,3.482100,618.42
,,01/24/2014,#2 HEATING OIL,29,Studio 5+6,159.70,3.482100,556.09
,,01/24/2014,LIQUID PROPANE,37,Turrets Annex,251.50,2.090300,525.71
,,01/25/2014,LIQUID PROPANE,8,Arts & Sci + Gates,754.30,2.090300,1576.71
,,01/27/2014,LIQUID PROPANE,10,Hatchery,54.70,2.090300,114.34
,,01/27/2014,#2 HEATING OIL,21,Davis Center,340.90,3.573700,1218.27
,,01/27/2014,DYED KEROSENE,26,Witchcliff,128.80,3.906400,503.14
,,01/27/2014,DYED KEROSENE,27,Witchcliff Apartments,154.30,3.906400,602.76
,,01/27/2014,LIQUID PROPANE,35,B&G,50.50,2.090300,105.56
,,01/27/2014,LIQUID PROPANE,9,Pottery Studio,43.70,2.090300,91.35
,,01/31/2014,#2 HEATING OIL,24,Dorr NHM,166.20,3.455400,574.29
,,01/31/2014,#2 HEATING OIL,33,PRF,131.60,3.515400,462.63
,,01/31/2014,LIQUID PROPANE,8,Arts & Sci + Gates,575.80,2.180100,1255.30
,,02/01/2014,#2 HEATING OIL,11,Kaelber,1066.50,3.455400,3685.18
,,02/01/2014,#2 HEATING OIL,17,Blair Tyson,318.50,3.455400,1100.54
,,02/01/2014,#2 HEATING OIL,3,Seafox,341.30,3.455400,1179.33
,,02/01/2014,#2 HEATING OIL,5,Turrets,276.80,3.455400,956.45
,,02/03/2014,LIQUID PROPANE,35,B&G,49.90,2.180100,108.79
,,02/03/2014,LIQUID PROPANE,37,Turrets Annex,133.80,2.180100,291.70
,,02/03/2014,LIQUID PROPANE,9,Pottery Studio,32.50,2.180100,70.85
,,02/07/2014,LIQUID PROPANE,31,Davis Village,91.00,2.206200,211.80
,,02/07/2014,LIQUID PROPANE,8,Arts & Sci + Gates,609.00,2.206200,1343.58
,,02/08/2014,#2 HEATING OIL,17,Blair Tyson,108.40,3.448300,373.80
,,02/08/2014,#2 HEATING OIL,24,Dorr NHM,157.80,3.448300,544.14
,,02/10/2014,#2 HEATING OIL,21,Davis Center,301.60,3.503100,1056.53
,,02/10/2014,LIQUID PROPANE,31,Davis Village,154.60,2.206200,359.84
,,02/10/2014,LIQUID PROPANE,35,B&G,47.20,2.206200,104.13
,,02/10/2014,LIQUID PROPANE,9,Pottery Studio,40.90,2.206200,90.23
,,02/12/2014,#2 HEATING OIL,3,Seafox,295.30,3.427900,1012.26
,,02/12/2014,LIQUID PROPANE,31,Davis Village,33.70,2.206200,78.44
,,02/14/2014,#2 HEATING OIL,17,Blair Tyson,345.60,3.450900,1192.63
,,02/14/2014,#2 HEATING OIL,24,Dorr NHM,136.00,3.450900,469.32
,,02/14/2014,DYED KEROSENE,26,Witchcliff,155.90,4.067600,634.14
,,02/14/2014,DYED KEROSENE,27,Witchcliff Apartments,132.50,4.067600,538.96
,,02/14/2014,LIQUID PROPANE,8,Arts & Sci + Gates,741.50,2.169000,1608.31
,,02/15/2014,DYED KEROSENE,1,Peach House,173.00,4.067600,703.69
,,02/15/2014,#2 HEATING OIL,11,Kaelber,860.70,3.450900,2970.19
,,02/15/2014,LIQUID PROPANE,37,Turrets Annex,179.20,2.169000,388.68
,,02/17/2014,#2 HEATING OIL,20,Davis Carriage,205.40,3.468000,712.33
,,02/17/2014,LIQUID PROPANE,35,B&G,67.00,2.169000,145.32
,,02/17/2014,#2 HEATING OIL,4,Cottage,236.70,3.468000,820.88
,,02/17/2014,#2 HEATING OIL,5,Turrets,312.20,3.468000,1082.71
,,02/17/2014,LIQUID PROPANE,9,Pottery Studio,24.80,2.169000,53.79
,,02/19/2014,#2 HEATING OIL,29,Studio 5+6,124.00,3.490600,432.83
,,02/21/2014,#2 HEATING OIL,24,Dorr NHM,134.00,3.566500,477.91
,,02/21/2014,#2 HEATING OIL,33,PRF,150.10,3.626500,544.34
,,02/21/2014,LIQUID PROPANE,7,Kaelber,233.10,2.163900,504.41
,,02/21/2014,LIQUID PROPANE,8,Arts & Sci + Gates,639.50,2.163900,1383.81
,,02/24/2014,LIQUID PROPANE,10,Hatchery,37.70,2.163900,81.58
,,02/24/2014,LIQUID PROPANE,14,171 Beech Hill Road,32.50,2.163900,70.33
,,02/24/2014,#2 HEATING OIL,17,Blair Tyson,392.00,3.490600,1368.32
,,02/24/2014,#2 HEATING OIL,21,Davis Center,263.10,3.490600,918.38
,,02/24/2014,#2 HEATING OIL,3,Seafox,272.40,3.490600,950.84
,,02/24/2014,LIQUID PROPANE,35,B&G,22.40,2.163900,48.47
,,02/24/2014,LIQUID PROPANE,9,Pottery Studio,13.80,2.163900,29.86
,,02/28/2014,LIQUID PROPANE,8,Arts & Sci + Gates,628.70,1.863500,1171.58
,,03/03/2014,#2 HEATING OIL,24,Dorr NHM,201.00,3.457800,695.02
,,03/03/2014,LIQUID PROPANE,35,B&G,45.70,1.863500,85.16
,,03/03/2014,LIQUID PROPANE,37,Turrets Annex,222.50,1.863500,414.63
,,03/03/2014,LIQUID PROPANE,9,Pottery Studio,66.90,1.863500,124.67
,,03/05/2014,#2 HEATING OIL,11,Kaelber,999.90,3.469900,3469.55
,,03/05/2014,#2 HEATING OIL,17,Blair Tyson,382.50,3.469900,1327.24
,,03/07/2014,DYED KEROSENE,26,Witchcliff,177.20,3.994200,707.77
,,03/07/2014,DYED KEROSENE,27,Witchcliff Apartments,151.60,3.994200,605.52
,,03/07/2014,#2 HEATING OIL,3,Seafox,314.80,3.411800,1074.03
,,03/07/2014,#2 HEATING OIL,5,Turrets,355.40,3.411800,1212.55
,,03/07/2014,LIQUID PROPANE,8,Arts & Sci + Gates,853.30,1.702300,1452.57
,,03/08/2014,LIQUID PROPANE,35,B&G,52.30,1.702300,89.03
,,03/09/2014,#2 HEATING OIL,21,Davis Center,300.30,3.411800,1024.56
,,03/10/2014,#2 HEATING OIL,24,Dorr NHM,142.00,3.411800,484.48
,,03/10/2014,LIQUID PROPANE,9,Pottery Studio,16.00,1.702300,27.24
,,03/12/2014,#2 HEATING OIL,4,Cottage,140.50,3.382100,475.19
,,03/14/2014,LIQUID PROPANE,8,Arts & Sci + Gates,569.60,1.697600,966.95
,,03/17/2014,#2 HEATING OIL,33,PRF,171.60,3.399400,583.34
,,03/17/2014,LIQUID PROPANE,35,B&G,58.10,1.697600,98.63
,,03/17/2014,LIQUID PROPANE,9,Pottery Studio,42.90,1.697600,72.83
,,03/19/2014,#2 HEATING OIL,17,Blair Tyson,511.40,3.288400,1681.69
,,03/19/2014,#2 HEATING OIL,20,Davis Carriage,183.80,3.288400,604.41
,,03/19/2014,#2 HEATING OIL,24,Dorr NHM,191.60,3.288400,630.06
,,03/19/2014,#2 HEATING OIL,3,Seafox,270.50,3.288400,889.51
,,03/21/2014,DYED KEROSENE,1,Peach House,167.50,3.899900,653.23
,,03/21/2014,LIQUID PROPANE,37,Turrets Annex,193.50,1.663100,321.81
,,03/21/2014,LIQUID PROPANE,8,Arts & Sci + Gates,503.60,1.663100,837.54
,,03/22/2014,#2 HEATING OIL,11,Kaelber,957.90,3.284200,3145.94
,,03/24/2014,#2 HEATING OIL,21,Davis Center,274.50,3.292300,903.74
,,03/24/2014,#2 HEATING OIL,24,Dorr NHM,96.30,3.292300,317.05
,,03/24/2014,LIQUID PROPANE,35,B&G,33.40,1.663100,55.55
,,03/24/2014,#2 HEATING OIL,5,Turrets,284.70,3.292300,937.32
,,03/24/2014,LIQUID PROPANE,9,Pottery Studio,25.60,1.663100,42.58
,,03/25/2014,LIQUID PROPANE,10,Hatchery,46.40,1.663100,77.17
,,03/28/2014,DYED KEROSENE,26,Witchcliff,158.10,3.919300,619.64
,,03/28/2014,DYED KEROSENE,27,Witchcliff Apartments,51.80,3.919300,203.02
